Serial Number,Project Name,Category/Company,Amount/Value,PDF Link,PDF Filename
134,Basil Processing,Samadhan Projects,2418000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BasilProcessing.pdf,BasilProcessing.pdf
135,Bath Soap,Samadhan Projects,2447000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/bathsoap.pdf,bathsoap.pdf
136,Battery Water,Samadhan Projects,1350000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BatteryWater.pdf,BatteryWater.pdf
137,Bay Leaf Essential Oil,Samadhan Projects,2487000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BayLeafEssentialOil.pdf,BayLeafEssentialOil.pdf
138,Bean Bag,Samadhan Projects,688000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BeanBag.pdf,BeanBag.pdf
139,Beauty Parlour,Samadhan Projects,1707000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BeautyParlour.pdf,BeautyParlour.pdf
141,Bed linen,Samadhan Projects,2500000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Bedlinen.pdf,Bedlinen.pdf
142,Bedsheet Manufacturing_DPR,Samadhan Projects,1416000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BedsheetManufacturingDPR.pdf,BedsheetManufacturingDPR.pdf
144,Besan Plant,Samadhan Projects,3505000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BesanPlant.pdf,BesanPlant.pdf
145,Besav Sev & Bhujia,Samadhan Projects,1822000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BesavSevBhujia.pdf,BesavSevBhujia.pdf
146,Bindi Making,Samadhan Projects,1885000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BindiMaking.pdf,BindiMaking.pdf
148,Biodegradable Bags,Samadhan Projects,4372000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BiodegradableBags.pdf,BiodegradableBags.pdf
149,Biodegradable Plastic Bags,Samadhan Projects,2289000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BiodegradablePlasticBags.pdf,BiodegradablePlasticBags.pdf
150,Biodegradable Plastic Pellets,Samadhan Projects,2478000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BiodegradablePlasticPellets.pdf,BiodegradablePlasticPellets.pdf
151,Biodiesel,Samadhan Projects,2472000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Biodiesel.pdf,Biodiesel.pdf
152,Biogas,Samadhan Projects,2028000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Biogas.pdf,Biogas.pdf
153,Biscuit & Cookies,Samadhan Projects,3265000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BiscuitCookies.pdf,BiscuitCookies.pdf
154,Biscuit Making Unit,Samadhan Projects,2122000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BiscuitMakingUnit.pdf,BiscuitMakingUnit.pdf
155,Black Clay Flower Pot,Samadhan Projects,936000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BlackClayFlowerPot.pdf,BlackClayFlowerPot.pdf
156,Black Insulating Tape,Samadhan Projects,1800000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BlackInsulationTape.pdf,BlackInsulationTape.pdf
157,Black Pepper,Samadhan Projects,1265000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BlackPepper.pdf,BlackPepper.pdf
158,Black Rice_DPR,Samadhan Projects,1919000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BlackRiceDPR.pdf,BlackRiceDPR.pdf
160,Block Printing_DPR,Samadhan Projects,1104000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BlockPrintingDPR.pdf,BlockPrintingDPR.pdf
161,Blood bags,Samadhan Projects,2294000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Bloodbags.pdf,Bloodbags.pdf
162,Body Lotion,Samadhan Projects,2433000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BodyLotion.pdf,BodyLotion.pdf
163,Bodywash Gel,Samadhan Projects,1609000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BodywashGel.pdf,BodywashGel.pdf
164,Book Binding Unit,Samadhan Projects,2148000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BookBindingUnit.pdf,BookBindingUnit.pdf
165,Bottling Plant,Samadhan Projects,2478000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BottlingPlant.pdf,BottlingPlant.pdf
166,Bouffant Caps,Samadhan Projects,1405000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BouffantCaps.pdf,BouffantCaps.pdf
167,Boutique,Samadhan Projects,2500000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Boutique.pdf,Boutique.pdf
168,Brake Liner,Samadhan Projects,2235000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BrakeLiner.pdf,BrakeLiner.pdf
169,Brake Liner,Samadhan Projects,2236000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BrakeLiner.pdf,BrakeLiner.pdf
170,Brake Shoe,Samadhan Projects,2299000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BrakeShoe.pdf,BrakeShoe.pdf
171,Brass Utensil Unit,Samadhan Projects,1178000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BrassUtensilUnit.pdf,BrassUtensilUnit.pdf
172,Bread Making,Samadhan Projects,4110000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BreadMaking.pdf,BreadMaking.pdf
173,Broom Making,Samadhan Projects,588000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BroomStick.pdf,BroomStick.pdf
174,Brown Sugar,Samadhan Projects,2394000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BrownSugar.pdf,BrownSugar.pdf
175,Bulb Holder,Samadhan Projects,2328000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BulbHolder.pdf,BulbHolder.pdf
176,Byadgi Chilli Powder,Samadhan Projects,1284000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ByadgiChilliPowder.pdf,ByadgiChilliPowder.pdf
177,CANVAS SHOES,POLYMER AND CHEMICAL BASED INDUSTRY,2157500,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON CANVAS SHOES.pdf,PROJECT PROFILE ON CANVAS SHOES.pdf
178,CANVAS SHOES,POLYMER AND CHEMICAL BASED INDUSTRY,2157500,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON CANVAS SHOES.pdf,PROJECT PROFILE ON CANVAS SHOES.pdf
179,CARPENTARY WORKSHOP,RURAL ENGG. AND BIO-TECH INDUSTRY,796000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON CARPENTARY WORKSHOP.pdf,PROJECT PROFILE ON CARPENTARY WORKSHOP.pdf
180,CARPENTRY UNIT,RURAL ENGG. AND BIO-TECH INDUSTRY,1240000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CARPENTRY UNIT.pdf,CARPENTRY UNIT.pdf
181,CASHEWNUT PROCESSING,AGRO BASED FOOD PROCESSING INDUSTRY,1800000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON CASHEWNUT PROCESSING.pdf,PROJECT PROFILE ON CASHEWNUT PROCESSING.pdf
182,CAST IRON BRAKE DRUMS,RURAL ENGG. AND BIO-TECH INDUSTRY,1745000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON CAST IRON BRAKE DRUMS.pdf,PROJECT PROFILE ON CAST IRON BRAKE DRUMS.pdf
183,CATTLE / POULTRY FEED SCHEME,AGRO BASED FOOD PROCESSING INDUSTRY,1000000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CATTLE  POULTRY FEED SCHEME.pdf,CATTLE  POULTRY FEED SCHEME.pdf
184,CCTV Camera Assembling unit,Samadhan Projects,567000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CCTVCameraAssemblingunit.pdf,CCTVCameraAssemblingunit.pdf
185,CEMENT JALLI,MINERAL BASED INDUSTRY,725000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON CEMENT JALLI.pdf,PROJECT PROFILE ON CEMENT JALLI.pdf
186,"CEMENT JALLI , DOORS, WINDOWS AND ALLIED PRODUCTS",MINERAL BASED INDUSTRY,1700000,"https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CEMENT JALLI , DOORS, WINDOWS AND ALLIED PRODUCTS.pdf","CEMENT JALLI , DOORS, WINDOWS AND ALLIED PRODUCTS.pdf"
187,CERAMIC ART WARES SCHEME,MINERAL BASED INDUSTRY,1700000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CERAMIC ART WARES SCHEME.pdf,CERAMIC ART WARES SCHEME.pdf
188,CERAMIC CANDLES (FOR WATER FILTER),MINERAL BASED INDUSTRY,860000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON CERAMIC CANDLES (FOR WATER FILTER).pdf,PROJECT PROFILE ON CERAMIC CANDLES (FOR WATER FILTER).pdf
189,CERAMIC COLOURS SCHEME,MINERAL BASED INDUSTRY,1375500,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CERAMIC COLOURS SCHEME.pdf,CERAMIC COLOURS SCHEME.pdf
190,CERAMIC TABLE WARES AND ALLIED ITEMS IN STONEWARE EARTHENWARE SEMI VITREOUSWARE,MINERAL BASED INDUSTRY,1105000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CERAMIC TABLE WARES AND ALLIED ITEMS IN STONEWARE EARTHENWARE SEMI VITREOUSWARE.pdf,CERAMIC TABLE WARES AND ALLIED ITEMS IN STONEWARE EARTHENWARE SEMI VITREOUSWARE.pdf
191,CHALK CRYONS,MINERAL BASED INDUSTRY,135000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT  PROFILE  ON  CHALK  CRYONS.pdf,PROJECT  PROFILE  ON  CHALK  CRYONS.pdf
192,CHEMICAL ETCHING ON WOOD,POLYMER AND CHEMICAL BASED INDUSTRY,90000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON CHEMICAL ETCHING ON WOOD.pdf,PROJECT PROFILE ON CHEMICAL ETCHING ON WOOD.pdf
193,CHEMICAL ETCHING ON WOOD,POLYMER AND CHEMICAL BASED INDUSTRY,90000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON CHEMICAL ETCHING ON WOOD.pdf,PROJECT PROFILE ON CHEMICAL ETCHING ON WOOD.pdf
194,CHEMICAL PORCELAIN (MBI),MINERAL BASED INDUSTRY,175000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON CHEMICAL PORCELAIN (MBI).pdf,PROJECT PROFILE ON CHEMICAL PORCELAIN (MBI).pdf
195,CHILDREN GARMENTS,SERVICE AND TEXTILE INDUSTRY,985000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON CHILDREN GARMENTS.pdf,PROJECT PROFILE ON CHILDREN GARMENTS.pdf
196,CHILDREN SHOE,POLYMER AND CHEMICAL BASED INDUSTRY,1623000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON CHILDREN SHOE.pdf,PROJECT PROFILE ON CHILDREN SHOE.pdf
197,CHILDREN SHOE,POLYMER AND CHEMICAL BASED INDUSTRY,1623000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON CHILDREN SHOE.pdf,PROJECT PROFILE ON CHILDREN SHOE.pdf
198,CLC Blocks Manufacturing,Samadhan Projects,2111000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CLCBlocksManufacturing.pdf,CLCBlocksManufacturing.pdf
199,CLEANING POWDER,POLYMER AND CHEMICAL BASED INDUSTRY,250000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON CLEANING POWDER.pdf,PROJECT PROFILE ON CLEANING POWDER.pdf
200,CLEANING POWDER,POLYMER AND CHEMICAL BASED INDUSTRY,250000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON CLEANING POWDER.pdf,PROJECT PROFILE ON CLEANING POWDER.pdf
201,COCONUT OIL AND OIL CAKE MANUAFCURING,AGRO BASED FOOD PROCESSING INDUSTRY,1950000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON COCONUT OIL AND OIL CAKE MANUAFCURING.pdf,PROJECT PROFILE ON COCONUT OIL AND OIL CAKE MANUAFCURING.pdf
202,COMB FOUNDATION UNIT,FOREST BASED INDUSTRY,183000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/COMB FOUNDATION UNIT.pdf,COMB FOUNDATION UNIT.pdf
203,COMMERCIAL APIARY UNIT (100 Bee Colonies of Apis Mellifera),FOREST BASED INDUSTRY,234500,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/COMMERCIAL APIARY UNIT (100 Bee Colonies of Apis Mellifera).pdf,COMMERCIAL APIARY UNIT (100 Bee Colonies of Apis Mellifera).pdf
204,COMMERCIAL APIARY UNIT (100 Bee Colonies of Apis cerana),FOREST BASED INDUSTRY,171000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/COMMERCIAL APIARY UNIT (100 Bee Colonies of Apis cerana).pdf,COMMERCIAL APIARY UNIT (100 Bee Colonies of Apis cerana).pdf
205,COMPOUND ASAFOETIDIA (HING),AGRO BASED FOOD PROCESSING INDUSTRY,620000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/COMPOUND ASAFOETIDIA (HING).pdf,COMPOUND ASAFOETIDIA (HING).pdf
206,COMPUTER MAINTENANCE AND SERVICING UNIT,SERVICE AND TEXTILE INDUSTRY,189348,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/COMPUTER MAINTENANCE AND SERVICING UNIT.pdf,COMPUTER MAINTENANCE AND SERVICING UNIT.pdf
207,COMPUTERIZED ADVERTISEMENT DESIGN,SERVICE AND TEXTILE INDUSTRY,576000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/COMPUTERIZED ADVERTISEMENT DESIGN.pdf,COMPUTERIZED ADVERTISEMENT DESIGN.pdf
208,"COTTON LACES, FILE TAGES & COTTON TAPES",SERVICE AND TEXTILE INDUSTRY,975000,"https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON COTTON LACES, FILE TAGES & COTTON TAPES.pdf","PROJECT PROFILE ON COTTON LACES, FILE TAGES & COTTON TAPES.pdf"
209,COTTON MATTRESSES & PILLOW,SERVICE AND TEXTILE INDUSTRY,470000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON COTTON MATTRESSES & PILLOW.pdf,PROJECT PROFILE ON COTTON MATTRESSES & PILLOW.pdf
210,CRICKET BALLS,POLYMER AND CHEMICAL BASED INDUSTRY,423500,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON CRICKET BALLS.pdf,PROJECT PROFILE ON CRICKET BALLS.pdf
211,CRICKET BALLS,POLYMER AND CHEMICAL BASED INDUSTRY,423500,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON CRICKET BALLS.pdf,PROJECT PROFILE ON CRICKET BALLS.pdf
212,CRICKET BATS,RURAL ENGG. AND BIO-TECH INDUSTRY,335000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON CRICKET BATS.pdf,PROJECT PROFILE ON CRICKET BATS.pdf
213,CYBER CAFÉ & BACK OFFICE SERVICES,SERVICE AND TEXTILE INDUSTRY,666500,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CYBER CAFE & BACK OFFICE SERVICES.pdf,CYBER CAFE & BACK OFFICE SERVICES.pdf
214,Cable Connectors (Lugs),Samadhan Projects,1421000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CableConnectorsLugs.pdf,CableConnectorsLugs.pdf
215,Cake Gel,Samadhan Projects,2300000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CakeGel.pdf,CakeGel.pdf
216,Cake Makiing unit final,Samadhan Projects,2072000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CakeMakiingunitfinal.pdf,CakeMakiingunitfinal.pdf
217,Camphor Tablet,Samadhan Projects,747000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CamphorTablet.pdf,CamphorTablet.pdf
218,Canned Mushroom,Samadhan Projects,2000000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CannedMushroom.pdf,CannedMushroom.pdf
219,Capsicum Processing,Samadhan Projects,2100000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CapsicumProcessing.pdf,CapsicumProcessing.pdf
220,Car Dust Cleaner,Samadhan Projects,503000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Cardustcleaner.pdf,Cardustcleaner.pdf
221,Car Radiator,Samadhan Projects,1758000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CarRadiator.pdf,CarRadiator.pdf
222,Car Radiator,Samadhan Projects,2344000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CarRadiator.pdf,CarRadiator.pdf
223,Car Washing,Samadhan Projects,990000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CarWashing.pdf,CarWashing.pdf
224,Car wind shield wiper,Samadhan Projects,1732000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CarWindShieldWiper.pdf,CarWindShieldWiper.pdf
225,Carbonated Soft Drink,Samadhan Projects,2500000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CarbonatedSoftDrink.pdf,CarbonatedSoftDrink.pdf
226,Carpet Finishing Work,Samadhan Projects,1194000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CarpetFinishingWork.pdf,CarpetFinishingWork.pdf
227,Case Rolls,Samadhan Projects,4397000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CaseRolls.pdf,CaseRolls.pdf
228,Cashew Processing Project,Samadhan Projects,3886000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CashewProcessingProject.pdf,CashewProcessingProject.pdf
229,Cashew nut shell Liquid,Samadhan Projects,2044000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CashewnutshellLiquid.pdf,CashewnutshellLiquid.pdf
230,Cassia Seeds,Samadhan Projects,1659000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CassiaSeeds.pdf,CassiaSeeds.pdf
231,Castor Oil,Samadhan Projects,1389000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CastorOil.pdf,CastorOil.pdf
232,Cattle Feed,Samadhan Projects,2133000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CattleFeed.pdf,CattleFeed.pdf
233,Ceiling Fan,Samadhan Projects,2478000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CeilingFan.pdf,CeilingFan.pdf
234,Cement Block,Samadhan Projects,2398000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CementBlock.pdf,CementBlock.pdf
235,Cement Grill,Samadhan Projects,1193000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CementGrill.pdf,CementGrill.pdf
236,Ceramic Paints,Samadhan Projects,2363000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CeramicPaints.pdf,CeramicPaints.pdf
237,Ceramic Tiles,Samadhan Projects,2478000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CeramicTiles.pdf,CeramicTiles.pdf
238,Chalk making,Samadhan Projects,393000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Chalkmaking.pdf,Chalkmaking.pdf
239,Chapati Making Machine,Samadhan Projects,439000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Chapatimakingmachine.pdf,Chapatimakingmachine.pdf
240,Charcoal Facewash,Samadhan Projects,1780000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CharcoalFacewash.pdf,CharcoalFacewash.pdf
241,Charcoal body wash,Samadhan Projects,2478000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CharcoalBodyWash.pdf,CharcoalBodyWash.pdf
242,Chia Seeds,Samadhan Projects,2019000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ChiaSeeds.pdf,ChiaSeeds.pdf
243,Chicken Nuggets,Samadhan Projects,2467000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ChickenNuggets.pdf,ChickenNuggets.pdf
245,Chicory Powder,Samadhan Projects,2282000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ChicoryPowder.pdf,ChicoryPowder.pdf
246,Chicory Powder,Samadhan Projects,2350000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ChicoryPowder.pdf,ChicoryPowder.pdf
247,Chikankari work unit,Samadhan Projects,842000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Chikankariworkunit.pdf,Chikankariworkunit.pdf
248,Chikki,Samadhan Projects,2456000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Chikki.pdf,Chikki.pdf
249,Chilli Powder,Samadhan Projects,2344000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ChilliPowder.pdf,ChilliPowder.pdf
250,Chironji Processing,Samadhan Projects,1663000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ChironjiProcessing.pdf,ChironjiProcessing.pdf
251,Chlorine Tablets,Samadhan Projects,1130000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ChlorineTablets.pdf,ChlorineTablets.pdf
252,Chocolate Milk,Samadhan Projects,2047000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ChocolateMilk.pdf,ChocolateMilk.pdf
253,Chrome Plating,Samadhan Projects,1287000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ChromePlating.pdf,ChromePlating.pdf
254,Chrome Plating,Samadhan Projects,1544000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ChromePlating.pdf,ChromePlating.pdf
255,Cigarette paper,Samadhan Projects,2272000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CigarettePaper.pdf,CigarettePaper.pdf
256,Cinnamon Powder,Samadhan Projects,2494000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CinnamonPowder.pdf,CinnamonPowder.pdf
257,Citronella Oil,Samadhan Projects,2500000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CitronellaOil.pdf,CitronellaOil.pdf
258,Clay Bricks,Samadhan Projects,2288000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ClayBricks.pdf,ClayBricks.pdf
259,Clutcher,Samadhan Projects,2253000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Clutcher.pdf,Clutcher.pdf
260,Coconut Honey,Samadhan Projects,2244000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CoconutHoney.pdf,CoconutHoney.pdf
261,Coconut Milk,Samadhan Projects,2244000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CoconutMilk.pdf,CoconutMilk.pdf
